Date,Open,High,Low,Close,Volume,Adj Close
2014-10-24,439.15,439.15,434.86,436.11,209347900,436.11
2014-10-23,432.21,437.62,429.14,437.12,270053300,437.12
2014-10-22,429.71,432.68,427.82,431.67,251935600,431.67
2014-10-21,417.54,427.49,416.18,427.49,318867000,427.49
2014-10-20,418.45,418.45,413.22,417.33,220849400,417.33
2014-10-17,406.52,418.02,405.36,418.02,264857100,418.02
2014-10-16,406.79,410.08,397.81,405.60,329484900,405.60
2014-10-15,417.29,417.29,405.25,405.51,304632300,405.51
2014-10-14,411.08,417.09,410.71,416.79,246507900,416.79
2014-10-13,411.94,416.37,410.51,412.26,167294300,412.26
2014-10-10,417.81,419.28,413.22,415.02,247050700,415.02
2014-10-09,428.50,429.91,419.95,421.49,271073700,421.49
2014-10-08,425.07,425.59,422.38,424.25,249438500,424.25
2014-10-07,435.31,435.31,426.50,426.50,285107600,426.50
2014-10-06,438.89,440.73,435.80,435.80,184427400,435.80
2014-10-03,434.90,437.62,434.90,437.09,247818900,437.09
2014-10-02,441.07,441.07,432.48,432.48,284652200,432.48
2014-10-01,445.98,446.68,441.11,441.14,235401000,441.14
2014-09-30,445.03,447.57,444.22,447.54,207337600,447.54
2014-09-29,446.28,447.06,442.39,444.69,152574000,444.69
2014-09-26,445.12,446.90,443.34,445.85,143781700,445.85
2014-09-25,449.58,451.19,444.27,444.83,165083600,444.83
2014-09-24,449.01,449.99,447.09,449.99,241780700,449.99
2014-09-23,452.74,452.80,448.85,448.85,205577600,448.85
2014-09-22,452.65,454.56,451.56,453.06,284727700,453.06
2014-09-19,455.14,455.14,453.66,453.95,320690300,453.95
2014-09-18,450.66,453.02,450.55,453.02,639017400,453.02
2014-09-17,448.22,451.05,448.22,450.56,586110400,450.56
2014-09-16,446.90,447.07,444.22,447.07,344475800,447.07
2014-09-15,444.25,448.01,443.81,447.16,155968700,447.16
2014-09-12,444.90,446.74,444.90,446.47,159830700,446.47
2014-09-11,447.36,447.90,443.44,444.59,294044800,444.59
2014-09-10,444.79,446.35,443.68,446.15,236166800,446.15
2014-09-09,447.79,448.20,445.70,445.83,158710100,445.83
2014-09-08,448.47,448.66,446.62,448.66,198353500,448.66
2014-09-05,450.77,450.77,447.06,447.99,216222700,447.99
2014-09-04,450.72,451.82,449.33,451.02,279588100,451.02
2014-09-03,449.30,451.93,448.94,451.17,186555400,451.17
2014-09-02,448.61,449.23,447.12,447.89,121834200,447.89
2014-09-01,448.80,449.55,446.61,447.60,168443000,447.60
2014-08-29,448.24,448.76,446.30,448.31,126740400,448.31
2014-08-28,450.87,451.09,446.77,447.29,133724500,447.29
2014-08-27,451.31,451.79,450.49,451.79,109872900,451.79
2014-08-26,449.75,451.17,448.55,451.17,103110900,451.17
2014-08-25,448.92,450.00,447.56,450.00,90047100,450.00
2014-08-22,447.44,447.93,445.23,446.30,108317500,446.30
2014-08-21,444.36,447.16,443.93,447.16,145402900,447.16
2014-08-20,444.62,445.79,442.15,443.91,106123600,443.91
2014-08-19,443.07,444.64,442.67,444.64,103395600,444.64
2014-08-18,440.46,442.14,440.39,442.14,94394700,442.14
2014-08-15,439.11,441.52,437.04,437.04,119908300,437.04
